id,raw_product_text
1,"B401400-14WVS Natural Diamond Band, 1.20cttw, round diamonds, size 6.5"
2,LB401400-14WVS Lab Grown Diamond Band 1.20 ctw white gold
3,"B501200-18YRA Ruby and Diamond Alternate Band, 0.75ct diamond, 1.10ct ruby"
4,B601800-14REM Half Emerald Half Diamond Ring 14k rose gold
5,"LB701100-18WFG Lab diamond pendant, F-G quality, 0.95cttw"
6,B801300-PTVS Diamond eternity band platinum VS 2.00ct
7,B901500-14YS Sapphire colorstone band yellow gold
8,LB301900-14RVS1 Lab grown diamond ring rose gold VS1 1.50 ctw
9,"B221100-18W Ruby half and diamond half band, 18 white"
10,B332200-14Y SI Natural diamond necklace 0.60cttw 14 yellow
11,LB445500-PTVVS2 Lab diamond bracelet platinum VVS2 3.25cttw
12,B778800-18R Emerald alternate diamond ring 18k rose gold
13,B112233-14WDEF Natural diamond stud earrings D-E-F quality 1.00cttw
14,LB223344-18YGH Lab grown diamond hoop earrings G-H 0.80cttw
15,B998877-14RS Ruby color stone only band 14 rose
